Место;Координаты;Год;Что измеряем; Значение
р. Чу - с. Милянфан, 1,5 км ниже впадения дренажного коллектора N 17, 0,2 м;42.993731, 74.805681;2014;ВПК 5, мг/л;0,97
р. Чу - с. Милянфан, 1,5 км ниже впадения дренажного коллектора N 17, 0,2 м;42.993731, 74.805681;2014;Нефтепродукты, мг/л;0,01
р. Чу - с. Милянфан, 1,5 км ниже впадения дренажного коллектора N 17, 0,2 м;42.993731, 74.805681;2015;Температура воды, град.;16,2
р. Чу - с. Милянфан, 1,5 км ниже впадения дренажного коллектора N 17, 0,2 м;42.993731, 74.805681;2015;Взвешенные вещества, мг/л;25,3
р. Чу - с. Милянфан, 1,5 км ниже впадения дренажного коллектора N 17, 0,2 м;42.993731, 74.805681;2015;Цветность, град.;5
р. Чу - с. Милянфан, 1,5 км ниже впадения дренажного коллектора N 17, 0,2 м;42.993731, 74.805681;2015;pH;8,3
р. Чу - с. Милянфан, 1,5 км ниже впадения дренажного коллектора N 17, 0,2 м;42.993731, 74.805681;2015;Кислород;10,39
р. Чу - с. Милянфан, 1,5 км ниже впадения дренажного коллектора N 17, 0,2 м;42.993731, 74.805681;2015;Сульфаты;87,2
р. Чу - с. Милянфан, 1,5 км ниже впадения дренажного коллектора N 17, 0,2 м;42.993731, 74.805681;2015;Хлориды;15,1
р. Чу - с. Милянфан, 1,5 км ниже впадения дренажного коллектора N 17, 0,2 м;42.993731, 74.805681;2015;Сумма ионов (минерализация) , мг/л;372
р. Чу - с. Милянфан, 1,5 км ниже впадения дренажного коллектора N 17, 0,2 м;42.993731, 74.805681;2015;Общая жесткость, ммоль/л;4,55
р. Чу - с. Милянфан, 1,5 км ниже впадения дренажного коллектора N 17, 0,2 м;42.993731, 74.805681;2015;Азот нитритный, мг/л;0,018
р. Чу - с. Милянфан, 1,5 км ниже впадения дренажного коллектора N 17, 0,2 м;42.993731, 74.805681;2015;Азот нитратный, мг/л;2,12
р. Чу - с. Милянфан, 1,5 км ниже впадения дренажного коллектора N 17, 0,2 м;42.993731, 74.805681;2015;ВПК 5, мг/л;1,02
р. Чу - с. Милянфан, 1,5 км ниже впадения дренажного коллектора N 17, 0,2 м;42.993731, 74.805681;2015;Нефтепродукты, мг/л;0,02
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2011;Температура воды, град.;14,8
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2011;Взвешенные вещества, мг/л;70,9
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2011;Цветность, град.;10
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2011;pH;8,08
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2011;Кислород;8,92
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2011;Сульфаты;100,7
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2011;Хлориды;20,1
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2011;Сумма ионов (минерализация) , мг/л;345
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2011;Общая жесткость, ммоль/л;4,3
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2011;Азот нитритный, мг/л;0,012
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2011;Азот нитратный, мг/л;1,87
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2011;ВПК 5, мг/л;0,84
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2011;Нефтепродукты, мг/л;0,01
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2012;Температура воды, град.;15,5
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2012;Взвешенные вещества, мг/л;153,4
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2012;Цветность, град.;6
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2012;pH;8,06
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2012;Кислород;8,81
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2012;Сульфаты;103,7
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2012;Хлориды;20
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2012;Сумма ионов (минерализация) , мг/л;352
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2012;Общая жесткость, ммоль/л;4,25
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2012;Азот нитритный, мг/л;0,014
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2012;Азот нитратный, мг/л;1,93
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2012;ВПК 5, мг/л;1,04
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2012;Нефтепродукты, мг/л;0,01
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2013;Температура воды, град.;13,9
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2013;Взвешенные вещества, мг/л;99,9
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2013;Цветность, град.;8
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2013;pH;8,21
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2013;Кислород;10,03
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2013;Сульфаты;90
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2013;Хлориды;18,7
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2013;Сумма ионов (минерализация) , мг/л;334
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2013;Общая жесткость, ммоль/л;4,3
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2013;Азот нитритный, мг/л;0,013
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2013;Азот нитратный, мг/л;1,92
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2013;ВПК 5, мг/л;1,13
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2013;Нефтепродукты, мг/л;0,01
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2014;Температура воды, град.;12,7
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2014;Взвешенные вещества, мг/л;86,3
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2014;Цветность, град.;5
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2014;pH;8,26
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2014;Кислород;10,12
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2014;Сульфаты;85,5
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2014;Хлориды;19
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2014;Сумма ионов (минерализация) , мг/л;336
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2014;Общая жесткость, ммоль/л;4,57
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2014;Азот нитритный, мг/л;0,016
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2014;Азот нитратный, мг/л;1,58
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2014;ВПК 5, мг/л;0,92
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2014;Нефтепродукты, мг/л;0
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2015;Температура воды, град.;14,4
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2015;Взвешенные вещества, мг/л;90,6
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2015;Цветность, град.;5
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2015;pH;8,22
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2015;Кислород;9,84
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2015;Сульфаты;82,1
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2015;Хлориды;19,2
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2015;Сумма ионов (минерализация) , мг/л;352
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2015;Общая жесткость, ммоль/л;4,41
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2015;Азот нитритный, мг/л;0,015
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2015;Азот нитратный, мг/л;2,25
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2015;ВПК 5, мг/л;0,97
р. Чу - с. Васильевка, 0,5 км выше села, 0,2 м;43.114710, 74.573014;2015;Нефтепродукты, мг/л;0,03
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2011;Температура воды, град.;15
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2011;Взвешенные вещества, мг/л;61,7
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2011;Цветность, град.;10
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2011;pH;8,09
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2011;Кислород;8,89
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2011;Сульфаты;104,2
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2011;Хлориды;22,2
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2011;Сумма ионов (минерализация) , мг/л;352
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2011;Общая жесткость, ммоль/л;4,32
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2011;Азот нитритный, мг/л;0,079
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2011;Азот нитратный, мг/л;1,86
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2011;ВПК 5, мг/л;1,6
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2011;Нефтепродукты, мг/л;0,01
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2012;Температура воды, град.;15,9
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2012;Взвешенные вещества, мг/л;98,4
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2012;Цветность, град.;8
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2012;pH;8,01
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2012;Кислород;8,94
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2012;Сульфаты;114,8
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2012;Хлориды;28,2
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2012;Сумма ионов (минерализация) , мг/л;392
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2012;Общая жесткость, ммоль/л;4,51
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2012;Азот нитритный, мг/л;0,105
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2012;Азот нитратный, мг/л;2,22
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2012;ВПК 5, мг/л;3,08
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2012;Нефтепродукты, мг/л;0,01
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2013;Температура воды, град.;14
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2013;Взвешенные вещества, мг/л;89,6
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2013;Цветность, град.;8
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2013;pH;8,19
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2013;Кислород;10,03
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2013;Сульфаты;93,8
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2013;Хлориды;25,5
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2013;Сумма ионов (минерализация) , мг/л;350
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2013;Общая жесткость, ммоль/л;4,34
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2013;Азот нитритный, мг/л;0,211
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2013;Азот нитратный, мг/л;1,86
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2013;ВПК 5, мг/л;3,4
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2013;Нефтепродукты, мг/л;0,01
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2014;Температура воды, град.;13,1
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2014;Взвешенные вещества, мг/л;73,4
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2014;Цветность, град.;6
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2014;pH;8,18
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2014;Кислород;9,57
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2014;Сульфаты;89,3
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2014;Хлориды;23,1
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2014;Сумма ионов (минерализация) , мг/л;361
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2014;Общая жесткость, ммоль/л;4,68
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2014;Азот нитритный, мг/л;0,114
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2014;Азот нитратный, мг/л;1,68
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2014;ВПК 5, мг/л;2,33
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2014;Нефтепродукты, мг/л;0
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2015;Температура воды, град.;14,3
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2015;Взвешенные вещества, мг/л;83,5
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2015;Цветность, град.;5
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2015;pH;8,2
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2015;Кислород;9,61
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2015;Сульфаты;82,3
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2015;Хлориды;23,4
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2015;Сумма ионов (минерализация) , мг/л;369
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2015;Общая жесткость, ммоль/л;4,37
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2015;Азот нитритный, мг/л;0,112
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2015;Азот нитратный, мг/л;2,02
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2015;ВПК 5, мг/л;3,06
р. Чу - с. Васильевка, 0,3 км ниже села, 0,2 м;43.134715, 74.536480;2015;Нефтепродукты, мг/л;0,03
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2011;Температура воды, град.;15,5
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2011;Взвешенные вещества, мг/л;126,7
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2011;Цветность, град.;10
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2011;pH;8,1
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2011;Кислород;8,42
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2011;Сульфаты;108,8
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2011;Хлориды;20,3
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2011;Сумма ионов (минерализация) , мг/л;362
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2011;Общая жесткость, ммоль/л;4,5
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2011;Азот нитритный, мг/л;0,037
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2011;Азот нитратный, мг/л;2,07
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2011;ВПК 5, мг/л;0,81
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2011;Нефтепродукты, мг/л;0,01
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2012;Температура воды, град.;17,6
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2012;Взвешенные вещества, мг/л;145,5
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2012;Цветность, град.;8
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2012;pH;8,1
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2012;Кислород;8,25
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2012;Сульфаты;120,7
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2012;Хлориды;25,2
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2012;Сумма ионов (минерализация) , мг/л;387
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2012;Общая жесткость, ммоль/л;4,64
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2012;Азот нитритный, мг/л;0,025
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2012;Азот нитратный, мг/л;2,11
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2012;ВПК 5, мг/л;1,12
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2012;Нефтепродукты, мг/л;0,01
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2013;Температура воды, град.;11,9
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2013;Взвешенные вещества, мг/л;152,5
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2013;Цветность, град.;9
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2013;pH;8,19
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2013;Кислород;10,01
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2013;Сульфаты;99,8
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2013;Хлориды;23
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2013;Сумма ионов (минерализация) , мг/л;359
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2013;Общая жесткость, ммоль/л;4,4
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2013;Азот нитритный, мг/л;0,083
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2013;Азот нитратный, мг/л;2,14
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2013;ВПК 5, мг/л;1,46
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2013;Нефтепродукты, мг/л;0,01
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2014;Температура воды, град.;13,9
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2014;Взвешенные вещества, мг/л;159,1
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2014;Цветность, град.;6
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2014;pH;8,18
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2014;Кислород;9,6
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2014;Сульфаты;101,1
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2014;Хлориды;24,7
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2014;Сумма ионов (минерализация) , мг/л;374
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2014;Общая жесткость, ммоль/л;4,82
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2014;Азот нитритный, мг/л;0,077
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2014;Азот нитратный, мг/л;1,76
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2014;ВПК 5, мг/л;1,93
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2014;Нефтепродукты, мг/л;0
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2015;Температура воды, град.;15,2
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2015;Взвешенные вещества, мг/л;128,2
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2015;Цветность, град.;8
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2015;pH;8,18
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2015;Кислород;9,39
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2015;Сульфаты;94,3
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2015;Хлориды;23,7
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2015;Сумма ионов (минерализация) , мг/л;388
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2015;Общая жесткость, ммоль/л;4,74
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2015;Азот нитритный, мг/л;0,109
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2015;Азот нитратный, мг/л;2,26
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2015;ВПК 5, мг/л;1,83
р.Чу - пос. Нижне-Чуйский, 0,5 км выше поселка, 0,2 м;43.188808, 74.370312;2015;Нефтепродукты, мг/л;0,02
р.Чу - пос. Нижне-Чуйский, 0,7 км ниже поселка, 0,2 м;43.212833, 74.312634;2011;Температура воды, град.;15,5
р.Чу - пос. Нижне-Чуйский, 0,7 км ниже поселка, 0,2 м;43.212833, 74.312634;2011;Взвешенные вещества, мг/л;133,5
р.Чу - пос. Нижне-Чуйский, 0,7 км ниже поселка, 0,2 м;43.212833, 74.312634;2011;Цветность, град.;10
р.Чу - пос. Нижне-Чуйский, 0,7 км ниже поселка, 0,2 м;43.212833, 74.312634;2011;pH;8,1
р.Чу - пос. Нижне-Чуйский, 0,7 км ниже поселка, 0,2 м;43.212833, 74.312634;2011;Кислород;8,52
р.Чу - пос. Нижне-Чуйский, 0,7 км ниже поселка, 0,2 м;43.212833, 74.312634;2011;Сульфаты;113,3
р.Чу - пос. Нижне-Чуйский, 0,7 км ниже поселка, 0,2 м;43.212833, 74.312634;2011;Хлориды;22,6
р.Чу - пос. Нижне-Чуйский, 0,7 км ниже поселка, 0,2 м;43.212833, 74.312634;2011;Сумма ионов (минерализация) , мг/л;374
р.Чу - пос. Нижне-Чуйский, 0,7 км ниже поселка, 0,2 м;43.212833, 74.312634;2011;Общая жесткость, ммоль/л;4,64
р.Чу - пос. Нижне-Чуйский, 0,7 км ниже поселка, 0,2 м;43.212833, 74.312634;2011;Азот нитритный, мг/л;0,048
