Место;Координаты;Год;Что измеряем; Значение
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2014;Сульфаты;41,2
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2014;Хлориды;8,4
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2014;Сумма ионов (минерализация) , мг/л;207
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2014;Общая жесткость, ммоль/л;3,07
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2014;Азот нитритный, мг/л;0,004
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2014;Азот нитратный, мг/л;0,69
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2014;ВПК 5, мг/л;1,03
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2014;Нефтепродукты, мг/л;0
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2015;Температура воды, град.;9,7
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2015;Взвешенные вещества, мг/л;24
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2015;Цветность, град.;3
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2015;pH;8,24
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2015;Кислород;10,74
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2015;Сульфаты;38,2
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2015;Хлориды;7,6
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2015;Сумма ионов (минерализация) , мг/л;222
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2015;Общая жесткость, ммоль/л;3,5
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2015;Азот нитритный, мг/л;0,005
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2015;Азот нитратный, мг/л;0,95
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2015;ВПК 5, мг/л;0,87
р.Чу - Бурулдайский мост, 0,01 км выше моста, 0,2 м;42.805462, 75.709088;2015;Нефтепродукты, мг/л;0
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2011;Температура воды, град.;14,3
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2011;Взвешенные вещества, мг/л;104,3
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2011;Цветность, град.;5
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2011;pH;8,05
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2011;Кислород;9,03
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2011;Сульфаты;39,3
р. Чу - г. Токмок, 1 км выше города, 0,2 м;42.856061, 75.282400;2011;Хлориды;10,1
